"Lightbox Pro","Lightbox Pro"
"General","General"
"Enable Lightbox Pro","Enable Lightbox Pro"
"Outline Type","Outline Type"
"beveled","beveled"
"drop-shadow","drop-shadow"
"glossy-dark","glossy-dark"
"outer-glow","outer-glow"
"rounded-black","rounded-black"
"rounded-white","rounded-white"
"Gallery","Gallery"
"Controls","Controls"
"Preset style","Preset style"
"None","None"
"Large white buttons","Large white buttons"
"Small white buttons","Small white buttons"
"Large dark buttons","Large dark buttons"
"White buttons with text","White buttons with text"
"Position","Position"
"above","above"
"top left","top left"
"top","top"
"top center","top center"
"top rigth","top rigth"
"leftpanel","leftpanel"
"left","left"
"middle left","middle left"
"middle center","middle center"
"middle right","middle right"
"right","right"
"rightpanel","rightpanel"
"bottom left","bottom left"
"bottom center","bottom center"
"bottom right","bottom right"
"below","below"
"Opacity","Opacity"
"X offset","X offset"
"Y offset","Y offset"
"Hide controls on mouse out","Hide controls on mouse out"
"Numbers","Numbers"
"Numbers position","Numbers position"
"heading","heading"
"caption","caption"
"Thumbstrip","Thumbstrip"
"Enable","Enable"
"Horizontal","Horizontal"
"Vertical","Vertical"
"Float","Float"
"Image","Image"
"Viewport","Viewport"
"Behaviour","Behaviour"
"Keep controls fixed","Keep controls fixed"
"Repeat slideshow","Repeat slideshow"
"Interval","Interval"
"Autoplay slideshow","Autoplay slideshow"
"Inner Html Widget","Inner Html Widget"
"Size","Size"
"Width","Width"
"Title bar","Title bar"
"Title Source","Title Source"
"A given string","A given string"
"Anchor'rs title attribute","Anchor'rs title attribute"
"Anchor'rs inner HTML","Anchor'rs inner HTML"
"Style","Style"
"Dimming","Dimming"
"Apply page dimming mask","Apply page dimming mask"
"Animation","Animation"
"Explanation label","Explanation label"
"easyInQuad","easyInQuad"
"linearTween","linearTween"
"easyInCirc","easyInCirc"
"easyInBack/easeOutBack","easyInBack/easeOutBack"
"Popup size and aligment","Popup size and aligment"
"Anchor","Anchor"
"Auto","Auto"
"Center","Center"
"Thumbnail top","Thumbnail top"
"Thumbnail top right","Thumbnail top right"
"Thumbnail right","Thumbnail right"
"Thumbnail bottom right","Thumbnail bottom right"
"Thumbnail bottom","Thumbnail bottom"
"Thumbnail bottom left","Thumbnail bottom left"
"Thumbnail left","Thumbnail left"
"Thumbnail top left","Thumbnail top left"
"Align","Align"
"Yes-'center' override anchor, No-'auto'","Yes-'center' override anchor, No-'auto'"
"Height","Height"
"Allow size reduction","Allow size reduction"
"Pad to minimum width","Pad to minimum width"
"Advanced behaviour","Advanced behaviour"
"Allow multiple popups at the same timen","Allow multiple popups at the same timen"
"Block right clicks on the popup image","Block right clicks on the popup image"
"Enable shortcut keys","Enable shortcut keys"
"Number of images to preload","Number of images to preload"
"Overlays","Overlays"
"Caption","Caption"
"Source","Source"
"Anchor's title ","Anchor's title "
"Thumbnail's alt","Thumbnail's alt"
"Thumbnail's title","Thumbnail's title"
"Subsequent div","Subsequent div"
"Relative","Relative"
"Heading","Heading"
"Close button","Close button"
"Tooltip","Tooltip"
"Title","Title"
"Content","Content"
"LightboxPro Inner Html","LightboxPro Inner Html"
"LightboxPro Image","LightboxPro Image"
"Image title","Image title"
"Thumbnail Width","Thumbnail Width"
"Thumbnail Height","Thumbnail Height"
"LightboxPro Gallery","LightboxPro Gallery"