"Askit Questions","Вопросы клиентов"
"Action","Action"
"Add Answer","Добавить ответ"
"Add Answers","Добавить ответы"
"Add Item","Добавить товар"
"Add New Answer","Добавить ответ"
"Add New Question","Добавить новый вопрос"
"Allow customers comment","Разрешить клиентам комментировать"
"Allow customer vote","Разрешить голосовать клиентов"
"Allow guest to ask questions","Разрешить гость задавать вопросы"
"Allow vote","Разрешить голосовать"
"Answer","Ответ"
"Answer information","Ответ информации"
"Answers:","Ответы:"
"Answers","Ответы"
"Approved","Approved"
"Are you sure?","Вы уверены?"
"Ask a question and Give an answer. Help your fellow customer.",""
"Ask a Question","Задать вопрос"
"Ask a question","Задать вопрос"
"Ask a question (%d)","Задать вопрос (%d)"
"Ask Information","Задать вопрос информация"
"AskIt","AskIt"
"Askit Product Questions" , "Askit Product Questions"
"Ask Your Question","Задайте свой вопрос"
"Be the first to ask a question about this product","Будьте первым, кто задаст вопрос по этому товару"
"Can you answer these question?","Вы можете ответить на эти вопросы?"
"Category","Категория"
"Category Questions – %s","Вопросы категории – %s"
"Change status","Изменить статус"
"Close","Закрыть"
"Closed","Закрыть"
"Cms Page Questions – %s","Cms Page Questions – %s"
"Count Answers","Count Answers"
"Count question show on product page","Count question show on product page"
"Create date","Дата создания"
"CSV","CSV"
"Customer","Клиент"
"Default comment status","По умолчанию статус комментарий"
"Default question status","По умолчанию статус вопроса"
"Delete","Удалить"
"Delete Item","Удалить товар"
"Delete Question","Удалить вопрос"
"Disapproved","Отклонено"
"Do you have same question?","Do you have same question?"
"Edit Answer '%s","Редактировать ответ '%s"
"Edit","Редактировать"
"Edit Item '%s","Edit Item '%s"
"Email and Name required","Email and Name required"
"Email","Email"
"Email Sender","Email Sender"
"Email template (admin notification)","Email template (admin notification)"
"Email template (customer notification)","Email template (customer notification)"
"Enable admin notification","Enable admin notification"
"Enable AskIt","Enable AskIt"
"Enable customer notification","Enable customer notification"
"Enable RSS Feed","Enable RSS Feed"
"General","General"
"Go to Question","Go to Question"
"Go to Related Item","Go to Related Item"
"Have a question?","Have a question?"
"Hint","Hint"
"ID","ID"
"Item does not exist","Item does not exist"
"Item information","Item information"
"Item","Item"
"Item Name","Item Name"
"Item News","Item News"
"Item Type","Item Type"
"Item was successfully deleted","Item was successfully deleted"
"Item was successfully saved","Item was successfully saved"
"Leave a Reply","Leave a Reply"
"login","login"
"Name","Name"
"No","No"
"Not Answerred","Not Answerred"
"Number of question to show on product page","Number of question to show on product page"
"New %ss question was posted : %s","New %ss question was posted : %s"
"Page","Page"
"Parent Id","Parent Id"
"Pending","Pending"
"Please select item(s)","Please select item(s)"
"Please %s to your account to post a question","Please %s to your account to post a question"
"Post a private question","Post a private question"
"Posted by","Posted by"
"Posted by %s on %s","Posted by %s on %s"
"Posted by %s, %s on %s","Posted by %s, %s on %s"
"Private","Private"
"Product Id","Product Id"
"Product Name","Product Name"
"Product","Product"
"Product Questions – %s","Product Questions – %s"
"Product Questions:","Product Questions:"
"Product Questions","Product Questions"
"%ss question was updated : %s","%ss question was updated : %s"
"Public","Public"
"Query","Query"
"Question Manager","Question Manager"
"Question:","Вопрос:"
"Question","Вопрос"
"Questions Manager","Questions Manager"
"Questions:","Вопросы:"
"Recent questions","Recent questions"
"* Required Fields","* Required Fields"
"Return back to the product page","Return back to the product page"
"Rss Feed Title","Rss Feed Title"
"Save Item","Save Item"
"Save Question","Save Question"
"Send admin notification to","Send admin notification to"
"Share customer name on frontend","Share customer name on frontend"
"Show customer name on frontend","Show customer name on frontend"
"Show product question as block on product page","Show product question as block on product page"
"Show product question on product page","Show product question on product page"
"Sorry, already voted","Sorry, already voted"
"Sorry, but we think you\'re a spammer.","Sorry, but we think you\'re a spammer."
"Sorry, only logged in customer can add self answer.","Sorry, only logged in customer can add self answer."
"Sorry, only logged in customer can hint.","Sorry, only logged in customer can hint."
"%s people had same question.","%s people had same question."
"%s people found this answer helpful","%s people found this answer helpful"
"Status","Status"
"Store discussion","Store discussion"
"Store View","Store View"
"Text","Text"
"There are no product questions yet.","Будьте первым кто задаст вопрос об этом товаре"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unable to find item to save","Unable to find item to save"
"Update date","Update date"
"View all related questions.","View all related questions."
"Vote for It","Vote for It"
"Votes","Votes"
"Was this Answer Helpful?","Was this Answer Helpful?"
"XML","XML"
"Your answer has been accepted","Your answer has been accepted"
"Your Answer","Your Answer"
"Your must login","Your must login"
"Your question has been accepted for moderation","Your question has been accepted for moderation"
"Yes","Yes"
"Author","Author"
"Last answer","Last answer"