"Cart Totals","Всього"
"Clear Shopping Cart","Очистити кошик"
"%s was successfully added to your shopping cart.","%s був успішно доданий до кошика!"
"%s was added to your shopping cart.","Товар <strong>%s</strong> - успішно доданий до кошика!"
"&laquo; Back to Billing Information","&laquo; Повернутись до інформації про оплату"
"&laquo; Back to Select Addresses","&laquo; Повернутись до вибору адреси"
"&laquo; Back to Shopping Cart","&laquo; Повернутись до кошику"
"* Required Fields","* Обов'язкові поля"
"Add New Address","Додати нову адресу"
"Add New Condition","Додати нову Condition"
"Add to Cart","Додати в кошик"
"Add to Compare","Порівняти"
"Add to Wishlist","Додати до списку бажань"
"Address","Адреса"
"Address %s of %s","Адреса %s з %s"
"After adding a product redirect to shopping cart","Після додавання товару перейти до кошика"
"Allow Guest Checkout","Дозволити оформляти замовлення без реєстрації"
"Already registered?","Вже зареєстровані?"
"An error occurred in the process of payment","Сталася помилка в процесі оплати"
"Apply Coupon","Використати сертифікат"
"Are you sure you would like to remove this item from the shopping cart?","Ви впевнені, що бажаєте видалити даний товар з кошика ?"
"Back","Повернутись"
"Back to Shipping Information","Повернутись до інформації про доставку"
"Based on your selection, you may be interested in the following items:","Вас можуть зацікавити такі товари:"
"Billing Address","Адреса оплати"
"Billing Information","Інформація по оплаті"
"Billing Information - %s","Інформація по оплаті - %s"
"Can not add item to shopping cart","Неможливо додати товар в кошик"
"Can not apply coupon code.","Неможливо застосувати код сертифікату."
"Can't open overview page","Не вдається відкрити сторінку огляду"
"Cancel Coupon","Відмінити сертифікат знижки"
"Cannot remove item","Неможливо видалити товар"
"Cannot update shopping cart","Неможливо оновит кошик"
"Card Verification Number Visual Reference","Інформація про вид перевірочного коду на картці"
"Cart Subtotal:","Загальна вартість товару в кошику:"
"Change","Змінити"
"Change Billing Address","Змінити адресу оплати"
"Checkbox text","відмітити текст"
"Checkout","Оформлення замовлення"
"Checkout Conditions","Умови по замовленню"
"Checkout Options","Налаштування замовлення"
"Checkout Section","Секція розрахунку"
"Checkout Terms and Conditions","Умови та терміни по замовленню"
"Checkout as Guest","Оформити замовлення без реєстрації"
"Checkout as a Guest or Register","Оформити замовлення без реєстрації, або зареєструватись"
"Checkout method","Метод оформлення замовлення"
"Checkout with Multiple Addresses","Оформити замовлення з кількома адресами"
"City","Місто"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Клацніть <a href=""%s"" onclick=""this.target='_blank'"">тут для друку</a> копії вашого замовлення."
"Close","Закрити"
"Company","Компанія"
"Condition Name","стан Ім'я"
"Condition was successfully deleted","Стан був успішно видалений"
"Condition was successfully saved","Стан успішно збережено"
"Configurable product image","Зображення конфігурованого товару"
"Confirm Password","Підтвердження паролю"
"Content","Контент"
"Content Height","Контенту висота"
"Content Height (css)","Контенту висота (css)"
"Continue","Продовжити"
"Continue Shopping","Перейти до магазину"
"Continue shopping","Продовжити вибір товарів"
"Continue to Billing Information","Перейти до інформації про оплату "
"Continue to Review Your Order","Перейти до перегляду Вашого замовлення"
"Continue to Shipping Information","Перейти до інформації про купівлю"
"Country","Країна"
"Coupon code ""%s"" is not valid.","Код сертифікату ""%s"" недійсний."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Код сертифікату був успішно відмінений."
"Create Billing Address","Нова адреса оплати"
"Create Shipping Address","Нова адреса доставки"
"Customer Address is not valid.","Адреса клієнту не діє."
"Data saving problem","Проблема збереження даних"
"Default Billing","Оплата за замовчуванням"
"Default Shipping","Доставка за замовчуванням"
"Delete Condition","Видалити умови"
"Details","Деталі"
"Disable Onepage Checkout","Відключити односторінкове замовлення"
"Disabled","Відключено"
"Discount Codes","Коди знижок"
"Display Cart Summary","Показати"
"Display Shopping Cart Sidebar","Показати бічну панель кошика"
"Display item quantities","Кількість товару"
"Display number of items in cart","Кількість найменувань товару"
"Easy access to your order history and status","Легкий доступ до історї Ваших замовлень та статусу"
"Edit","Редагувати"
"Edit Address","Редагувати адресу"
"Edit Billing Address","Редагувати адресу оплати"
"Edit item","Редагувати товар"
"Edit Items","Редагувати товари"
"Edit Shipping Address","Редагувати адресу поставки"
"Edit Terms and Conditions","Редагувати Умови"
"Edit Your Cart","Редагувати Ваш кошик"
"Email Address","E-mail"
"Enable Terms and Сonditions","Включити Правила і умови"
"Enabled","Доступний"
"Enter a New Address","Ввести нову адресу"
"Enter your coupon code if you have one.","Якщо Ви маєте сертифікат на знижку, введіть його код."
"Enter your destination to get a shipping estimate.","Вкажіть місце доставки для отримання розрахунку."
"Error while deleting this condition. Please try again later.","Помилка при видаленні цього стану. Будь ласка, спробуйте пізніше."
"Error while saving this condition. Please try again later.","Помилка при збереженні цього стану. Будь ласка, спробуйте пізніше."
"Estimate Shipping and Tax","Попередня оцінка вартості доставки та суми податку"
"Excl. Tax","виключаючи Податок"
"Fast and easy check out","Швидке та легке офрмлення замовлення"
"Fax","Факс"
"Forgot an Item?","Забули товар?"
"Forgot your password?","Забули пароль?"
"Get a Quote","Отримати загальну вартість"
"Grand Total:","Загальна вартість:"
"Grouped product image","Зображення групового товару"
"HTML","HTML"
"ID","ID"
"Incl. Tax","вкл. Податок"
"Invalid data","Невірні дані"
"Invalid email address ""%s""","Невірна e-mail адреса ""%s"""
"Invalid shipping method.","Невірний метод доставки."
"Items","Товарів"
"Load customer quote error","Помилка при завантажені загальної вартості замовлення клієнта"
"Loading next step...","Завантаження наступного кроку..."
"Login","Вхід в систему"
"Manage Checkout Terms and Conditions","Управління Правилами та умовами оформлення замовлення"
"Maximum display Recently added item(s)","Максимальний показ нещодавно доданих елементів(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимальна кількість дозволена для доставки по кільком адресам становить %s"
"Move to Wishlist","Додати до списку бажань"
"My Account","Мій обліковий запис"
"My Cart","Мій кошик"
"My Cart (%s item)","Мій кошик (%s шт.)"
"My Cart (%s items)","Мій кошик (%s шт.)"
"My Cart Link","Лінк на мій кошик"
"New Address","Нова адреса"
"New Condition","Новий стан"
"Order #","Замовлення №"
"Order Review","Перегляд замовлення"
"Order Success","Замовлення успішно подано"
"Other items in your order","Інші товари в вашому замовленні"
"Password","Пароль"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Інформація по оплаті"
"Payment Method","Спосіб оплати"
"Payment method is not defined","Спосіб оплати не визначений"
"Place Order","Оформити замовлення"
"Please <a href=""%s"">continue shopping</a>.","Будь-ласка, <a href=""%s"">поверніться до магазину</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Будь-ласка, введіть вірний пошовий код. Наприклад 90602 або 90602-1234."
"Please log in below:","Будь-ласка, авторизуйтесь в системі нижче:"
"Please select region, state or province","Будь-ласка, виберіть регіон/область"
"Please select shipping address for applicable items","Будь ласка, виберіть адресу доставки для позицій"
"Please select shipping methods for all addresses","Будь-ласка, виберіть методи доставки для всіх адрес"
"Price","Ціна"
"Proceed to Checkout","Оформити замовлення"
"Product","Товар"
"Product Name","Назва товару"
"Product does not exist","Товару не існує"
"Qty","Кількість"
"Quote Lifetime (days)","Термін зберігання товару в кошику (днів)"
"Recently added item(s)","Нещодавно доданий товар"
"Register","Зареєструватись"
"Register and save time!","Зареєструйтесь і зекономте час!"
"Register to Create an Account","Зареєструтесь для створення облікового запису"
"Register with us for future convenience:","Зареструйтесь зараз, щоб полегшити користування системою:"
"Remove","Видалити"
"Remove Item","Видалити товар"
"Remove Product","Видалити товар"
"Remove item","Видалити позицію"
"Review Order","Перегляд замовлення"
"Review Order - %s","Перегляд замовлення - %s"
"Sales","Продажі"
"Save Condition","Зберегти Condition"
"Save in address book","Зберегти в адресній книзі"
"Select Address","Виберіть адресу"
"Select Addresses","Виберіть адреси"
"Select Shipping Method","Виберіть метод поставк "
"Select State/Province...","Виберіть регіон/область..."
"Select a billing address from your address book or enter a new address.","Виберіть адресу для оплати з Вашої адресної книжки або введіть нову."
"Select a shipping address from your address book or enter a new address.","Виберіть адресу для доставки з Вашої адресної книжки або введіть нову."
"Send Payment Failed Email Copy Method","Надіслати копію методу платежу, що не пройшов по електронній пошті"
"Send Payment Failed Email Copy To","Надіслати також копію платежу, що не пройшов по електронній пошті"
"Send to","Надіслати"
"Ship to Multiple Addresses","Доставка кільком адресам"
"Ship to different address","Доставка по різним адресам"
"Ship to this address","Доставка до вказаної адреси"
"Shipping Address","Адреса доставки"
"Shipping Information","Інформація по доставці"
"Shipping Method","Метод доставки"
"Shipping Methods","Методи доставки"
"Shipping method has not been selected yet","Метод доставки ще не вибраний"
"Shipping selection is not applicable","Вибір Доставки не застосовується"
"Shipping to","Доставка до"
"Shopping Cart","Кошик"
"Shopping Cart Sidebar","Сайдбар кошика"
"Shopping Cart is Empty","Кошик пустий"
"Show Content as","Показати вміст по"
"Some of the products you requested are not available in the desired quantity","Деякі продукти, що Ви замовили, на даний момент недоступні у необхідній кількості"
"Some of the products you requested are unavailable","Деякі продукти, що Ви замовили,на даний момент недоступні"
"Sorry, Onepage Checkout is disabled.","На жаль, односторінкове замовлення відключене."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","Область/Район"
"Status","Статус"
"Store View","Вигляд магазину"
"Street Address","Адреса: Вулиця"
"Street Address ","Вулиця "
"Submitting order information...","інформації про оформлення замовлення..."
"Subtotal","Всього"
"Telephone","Телефон"
"Terms and Conditions","Умови та правила"
"Terms and Conditions Information","Інформація про Умови та правила"
"Terms and conditions","Умови та правила"
"Text","Текст"
"Thank you for your purchase!","Дякуємо за покупку!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","У Вашому кошику <a href=""%s""><strong>%s товарів</strong></a> ."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","У Вашому кошику <a href=""%s""><strong>1 товар</strong></a>."
"There is already a customer registered using this email address","В системі вже існує зареєстрований клієнт з даною email адресою"
"There was an error processing your order. Please contact us or try again later.","Відбулась помилка при обробці Вашого замовлення. Будь-ласка, зконтактуйтесь з нами або спробуйте пізніше ще раз."
"This condition no longer exists","This condition no longer exists"
"Total","Всього"
"Total for this address","Загальна сума замовлення для даної абреси"
"Unit Price","Ціна одиниці товару"
"Update Qty &amp; Addresses","Оновити кількість &amp; адрес"
"Update Shopping Cart","Перерахувати"
"Update Total","Оновити загальну суму замовлення"
"Use Billing Address","Використати адресу оплати"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Ми обробляємо Ваше замовлення і невдовзі Ви отримаєте email з деталями замовлення. Після відправки замовлення Ви отримаєте ще один email з посиланням для відслідковування його шляху."
"You have no items in your shopping cart.","Ваш кошик порожній."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Ви отримаєте email для підтвердження замовлення зі всією детальнішою інформацією та посиланням для відслідковування його шляху."
"Your Checkout Progress","Стадія оформлення замовлення"
"Your order # is: %s","Номер Вашого замовлення: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","Ваше замовлення було прийнято"
"Your order number is ","Номер вашого замовлення: "
"Zip/Postal Code","Поштовий код"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","розділений з "","""
"My Cart","Мій кошик"
"You have no items in your shopping cart.","Ваш кошик покупок ще порожній!"
"Checkout","Замовлення"
"Shopping Cart is Empty","Ваш кошик покупок ще порожній"
"Please <a href=""%s"">continue shopping</a>.","Будь-ласка, <a href=""%s"">продовжити покупки</a>."
"View cart & checkout","Перейти до оформлення замовлення"
"Update Cart","Оновити"
"Ваша корзина еще пуста","Ваш кошик ще порожній"
"Спасибо Вам за посещение магазина","Дякуємо, що відвідали магазин"
"Если Вам нужна помощь при работе с корзиной, <br />пожалуйста","Якщо вам потрібна допомога при роботі з Кошиком, <br />будь ласка"
"напишите email в поддержку","напишіть e-mail в техпідтримку"
"или позвоните","або зателефонуйте"
"Продолжить увлекательные покупки!","Продовжити цікаві покупки!"

