"""Remember Me"" Default Value","""Запам'ятати мене"" по замовчуванню"
"(Not %s?)","(не %s?)"
"* Required Fields","* обов'язкові поля"
"Address","Адреса"
"Address Information","Інформація про адресу"
"Already registered?","Вже зареєстровані?"
"Back","Назад"
"Checkout as Guest","Оформити замовлення як Гість"
"Checkout as a Guest or Register","Оформити замовлення як Гість або Зареєструватись"
"City","Місто"
"Close","Закрити"
"Company","Компанія"
"Continue","Продовжити"
"Country","Країна"
"Create an Account","Створити Аккаунт"
"Email Address","Email-пошта"
"Enable ""Remember Me""","Доступно ""Запам'ятати мене"""
"Fax","Факс"
"Forgot Your Password?","Забули пароль?"
"Forgot your password?","Забули пароль?"
"Forgot Your Password","Забули пароль?"
"General Options","Загальні настройки"
"Loading next step...","Завантаження наступного кроку..."
"Login","Ввійти"
"New Customers","Нові користувачі"
"Password","Пароль"
"Personal Information","Особиста Інформація"
"Register","Зареєструватись"
"Registered Customers","Зареєстровані користувачі"
"Remember Me","Запам'ятати мене"
"Save in address book","Зберегти в адресну книгу"
"Select State/Province...","Вибрати Область/Район..."
"Select a billing address from your address book or enter a new address.","Виберіть адресу з адресної книги або вкажіть новий."
"Ship to different address","Доставити на різні адреси"
"Ship to this address","Доставити на цю адресу"
"Sign Up for Newsletter","Підписатися на новини"
"State/Province","Область/Район"
"Street Address","Назва вулиці"
"Street Address %s","Назва вулиці %s"
"Submit","Підтвердити"
"Telephone","Телефон"
"To proceed to Checkout, please log in using your email address.","Щоб оформити замовлення, будь ласка залогіньтесь, використавши свій e-mail!"
"VAT Number","ІПН"
"Welcome, %s!","Вітаємо, %s!"
"What\'s this?","Що це?"
"What's this?","Що це?"
"Zip/Postal Code","Поштовий індекс"
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Вибираючи Запам'ятати мене, ви будете мати доступ до Кошика на цьому комп'ютері, навіть якщо вийдете з облікового запису нашого магазину"